,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
247,601127.SH,20220616,67.2,73.25,67.2,70.38,66.74,3.64,5.454,449395.91,3170385.078
246,601127.SH,20220617,69.11,75.9,68.45,74.4,70.38,4.02,5.7118,438541.52,3187306.757
245,601127.SH,20220620,76.1,77.66,70.6,72.01,74.4,-2.39,-3.2124,430590.43,3158293.223
244,601127.SH,20220621,71.88,72.27,69.4,70.86,72.01,-1.15,-1.597,254658.66,1791407.077
243,601127.SH,20220622,71.98,73.32,70.21,70.3,70.86,-0.56,-0.7903,265404.68,1907385.853
242,601127.SH,20220623,72.36,77.33,71.04,77.33,70.3,7.03,10,389268.66,2918438.335
241,601127.SH,20220624,79.9,85.06,79.1,85.06,77.33,7.73,9.9961,359590.21,2949114.025
240,601127.SH,20220627,86.5,86.86,80.18,82.28,85.06,-2.78,-3.2683,522013.88,4323470.122
239,601127.SH,20220628,82.72,90.5,80.32,87.75,82.28,5.47,6.648,508078.43,4313262.377
238,601127.SH,20220629,85.19,86.44,78.98,78.98,87.75,-8.77,-9.9943,469969.5,3825006.592
237,601127.SH,20220630,77.2,84.2,77.2,81.09,78.98,2.11,2.6716,394285.51,3218856.784
236,601127.SH,20220701,81.33,86.91,79.14,84.52,81.09,3.43,4.2299,409837.16,3418711.849
235,601127.SH,20220704,85,85.82,76.81,83.01,84.52,-1.51,-1.7866,422316.09,3421217.618
234,601127.SH,20220705,84.87,89,78.01,78.94,83.01,-4.07,-4.903,582127.83,4877522.346
233,601127.SH,20220706,77,78.44,74.95,77.6,78.94,-1.34,-1.6975,412287.19,3153666
232,601127.SH,20220707,77.8,82.99,77.02,81.33,77.6,3.73,4.8067,416363.41,3365403.686
231,601127.SH,20220708,82.3,82.45,78.1,78.49,81.33,-2.84,-3.4919,243749.52,1937390.725
230,601127.SH,20220711,77.85,77.99,73.3,74.5,78.49,-3.99,-5.0835,287755.36,2160633.786
229,601127.SH,20220712,75.9,76.61,72.79,74.7,74.5,0.2,0.2685,236085.33,1766493.575
228,601127.SH,20220713,74.01,75.9,72,73.91,74.7,-0.79,-1.0576,207977.35,1544865.697
227,601127.SH,20220714,73.12,76.73,72.8,75.6,73.91,1.69,2.2866,221388.84,1671683.316
226,601127.SH,20220715,75,78.86,73.88,73.94,75.6,-1.66,-2.1958,284798.68,2182729.421
225,601127.SH,20220718,74.51,77.68,74.08,75.2,73.94,1.26,1.7041,216648.3,1641255.952
224,601127.SH,20220719,75.42,76.68,73.33,73.92,75.2,-1.28,-1.7021,190267.02,1420222.429
223,601127.SH,20220720,73.13,74.36,72.47,73.23,73.92,-0.69,-0.9334,152721.25,1117229.808
222,601127.SH,20220721,73,73.47,70.55,71.01,73.23,-2.22,-3.0315,170398.21,1222077.812
221,601127.SH,20220722,71,72.8,70.93,72.06,71.01,1.05,1.4787,152155.33,1095191.741
220,601127.SH,20220725,71.3,73.1,69.1,72.88,72.06,0.82,1.1379,179828.26,1286020.524
219,601127.SH,20220726,73.01,75.7,72.29,73.65,72.88,0.77,1.0565,211968.03,1566498.708
218,601127.SH,20220727,72.62,74.32,71.52,73,73.65,-0.65,-0.8826,136317.22,992573.633
217,601127.SH,20220728,74.2,75.55,71.5,73.42,73,0.42,0.5753,218524.94,1612494.541
216,601127.SH,20220729,73,78.86,72.4,76.4,73.42,2.98,4.0588,280940.39,2116798.46
215,601127.SH,20220801,75.9,81.58,74.91,81.03,76.4,4.63,6.0602,407049.73,3192962.625
214,601127.SH,20220802,78,78.18,74.56,74.56,81.03,-6.47,-7.9847,337438.78,2572991.855
213,601127.SH,20220803,75,77.24,70.12,70.91,74.56,-3.65,-4.8954,314154.58,2328773.736
212,601127.SH,20220804,71.08,72,66.14,68.1,70.91,-2.81,-3.9628,269003.63,1837369.616
211,601127.SH,20220805,68.11,68.44,66.6,67.38,68.1,-0.72,-1.0573,169350.79,1140260.284
210,601127.SH,20220808,66.65,67.95,64.85,66.75,67.38,-0.63,-0.935,138174.91,924050.602
