,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
160,601633.SH,20221025,27.05,27.58,25.88,27.21,27.05,0.16,0.5915,256181.87,685286.513
159,601633.SH,20221026,27.26,28.2,26.97,27.89,27.21,0.68,2.4991,308837.45,857597.318
158,601633.SH,20221027,28.15,30.09,27.9,29.3,27.89,1.41,5.0556,459973.59,1340366.061
157,601633.SH,20221028,29.3,29.75,28.51,28.95,29.3,-0.35,-1.1945,333645.52,968179.561
156,601633.SH,20221031,28.5,29.6,28.46,29.16,28.95,0.21,0.7254,245094.08,713294.646
155,601633.SH,20221101,29.22,29.65,28.7,29.47,29.16,0.31,1.0631,236657.01,691104.376
154,601633.SH,20221102,29.02,30.49,28.97,30.01,29.47,0.54,1.8324,335057.68,997987.222
153,601633.SH,20221103,29.69,30.25,29.1,29.24,30.01,-0.77,-2.5658,239942.66,710388.902
152,601633.SH,20221104,29.13,32,29.12,31.2,29.24,1.96,6.7031,444802.46,1354055.415
151,601633.SH,20221107,30.73,31.41,30.51,30.92,31.2,-0.28,-0.8974,236708.74,732619.251
150,601633.SH,20221108,30.88,31.21,30.45,30.71,30.92,-0.21,-0.6792,174420.48,535371.525
149,601633.SH,20221109,30.8,30.93,30.2,30.23,30.71,-0.48,-1.563,139106.42,424074.663
148,601633.SH,20221110,29.97,30.6,29.52,30.24,30.23,0.01,0.0331,210185.62,632429.661
147,601633.SH,20221111,31.31,31.48,30.3,30.62,30.24,0.38,1.2566,236674.8,727916.735
146,601633.SH,20221114,30.77,31.1,30.09,30.18,30.62,-0.44,-1.437,161405.36,493523.571
145,601633.SH,20221115,30,30.95,29.68,30.8,30.18,0.62,2.0543,163588.88,499289.396
144,601633.SH,20221116,30.65,31.05,30.1,30.11,30.8,-0.69,-2.2403,139533.52,425004.212
143,601633.SH,20221117,29.75,29.75,28.68,29.24,30.11,-0.87,-2.8894,264498.17,769257.462
142,601633.SH,20221118,29.56,29.67,29.01,29.03,29.24,-0.21,-0.7182,150012.82,439905.748
141,601633.SH,20221121,28.93,29.43,28.35,29.18,29.03,0.15,0.5167,128924.59,374079.448
140,601633.SH,20221122,29.25,29.48,28.76,28.92,29.18,-0.26,-0.891,106866.18,310082.675
139,601633.SH,20221123,28.8,29.19,28.72,28.86,28.92,-0.06,-0.2075,93600.69,270567.096
138,601633.SH,20221124,29.11,29.25,28.71,28.89,28.86,0.03,0.104,110686.87,320090.678
137,601633.SH,20221125,28.75,28.82,28.31,28.48,28.89,-0.41,-1.4192,134962.41,384937.776
136,601633.SH,20221128,28.15,28.85,27.59,28.72,28.48,0.24,0.8427,149214.03,422386.802
135,601633.SH,20221129,28.72,29.45,28.51,29.29,28.72,0.57,1.9847,163842.27,475848.005
134,601633.SH,20221130,29.3,32.22,29.24,31.98,29.29,2.69,9.184,716788.88,2249576.889
133,601633.SH,20221201,32.48,33.9,31.93,32.08,31.98,0.1,0.3127,544308.1,1773880.171
132,601633.SH,20221202,32.06,32.07,31.19,31.21,32.08,-0.87,-2.712,236454.07,744761.482
131,601633.SH,20221205,31.52,31.78,30.94,31.15,31.21,-0.06,-0.1922,219849.53,688170.05
130,601633.SH,20221206,30.85,32.6,30.63,31.65,31.15,0.5,1.6051,288990.25,915360.784
129,601633.SH,20221207,31.67,32.43,31.67,31.84,31.65,0.19,0.6003,240583.75,769361.014
128,601633.SH,20221208,31.5,32.1,31.35,31.55,31.84,-0.29,-0.9108,158896.9,503784.103
127,601633.SH,20221209,31.12,31.79,31.01,31.55,31.55,0,0,181463.48,569405.527
126,601633.SH,20221212,31.16,31.5,30.75,30.96,31.55,-0.59,-1.87,144083.18,446525.044
125,601633.SH,20221213,30.8,31.95,30.77,31,30.96,0.04,0.1292,136602.44,428955.405
124,601633.SH,20221214,30.88,31.01,30.4,30.75,31,-0.25,-0.8065,119116.01,365832.527
123,601633.SH,20221215,30.75,31.35,30.45,31.11,30.75,0.36,1.1707,174190.62,538538.581
122,601633.SH,20221216,30.68,31.08,30.35,30.53,31.11,-0.58,-1.8644,143093.6,437395.995
121,601633.SH,20221219,30.76,31.69,30.1,30.21,30.53,-0.32,-1.0481,205775.87,635153.841
120,601633.SH,20221220,30.04,30.2,29.1,29.81,30.21,-0.4,-1.3241,177596.29,526038.119
119,601633.SH,20221221,29.92,30.1,29.14,29.27,29.81,-0.54,-1.8115,142816.79,420629.048
