,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
243,300357.SZ,20220602,45.24,46.4,44.71,45.85,45.38,0.47,1.0357,26981.79,123007.405
242,300357.SZ,20220606,45.87,47.1,45,46.7,45.85,0.85,1.8539,39321.91,181557.903
241,300357.SZ,20220607,46.7,46.92,45.59,46.03,46.7,-0.67,-1.4347,22913.12,105348.43
240,300357.SZ,20220608,45.61,46.97,45.51,46.13,46.03,0.1,0.2172,24649.78,113929.489
239,300357.SZ,20220609,46.13,46.73,44.86,45.3,46.13,-0.83,-1.7993,19059.76,86846.018
238,300357.SZ,20220610,44.88,45.8,44.7,45.7,45.3,0.4,0.883,25105.93,113476.909
237,300357.SZ,20220613,44.99,46.88,44.5,46.61,45.7,0.91,1.9912,27974.12,127876.75
236,300357.SZ,20220614,46.57,46.57,44.8,46.1,46.61,-0.51,-1.0942,21871.25,99519.369
235,300357.SZ,20220615,45.38,46.34,44,44.56,46.1,-1.54,-3.3406,41757.41,187932.34
234,300357.SZ,20220616,44.8,46.75,44.76,45.82,44.36,1.46,3.2913,33428.29,153974.929
233,300357.SZ,20220617,45.83,49.81,45.08,49.8,45.82,3.98,8.6862,76217.03,366711.551
232,300357.SZ,20220620,49.27,50.14,48.31,48.53,49.8,-1.27,-2.5502,36640.62,179366.723
231,300357.SZ,20220621,48.53,48.97,47.2,47.58,48.53,-0.95,-1.9576,21690.94,103838.437
230,300357.SZ,20220622,47.78,47.95,46.67,46.81,47.58,-0.77,-1.6183,26085.12,122836.685
229,300357.SZ,20220623,46.52,48.84,46.2,48.57,46.81,1.76,3.7599,32487.81,155256.526
228,300357.SZ,20220624,48.33,49.98,47.88,48.72,48.57,0.15,0.3088,37139.74,182303.193
227,300357.SZ,20220627,48.74,49.84,48.4,48.5,48.72,-0.22,-0.4516,18466.73,90098.757
226,300357.SZ,20220628,48.51,48.9,47.5,48.46,48.5,-0.04,-0.0825,20203.81,97041.634
225,300357.SZ,20220629,48.2,50.44,48.15,49.23,48.46,0.77,1.5889,51233.45,253749.587
224,300357.SZ,20220630,49,52.78,48.9,52.03,49.23,2.8,5.6876,52814.82,274076.344
223,300357.SZ,20220701,52.02,52.4,49.9,50.25,52.03,-1.78,-3.4211,27615.11,140016.022
222,300357.SZ,20220704,50.53,53.38,49.43,52.72,50.25,2.47,4.9154,40985.02,212978.804
221,300357.SZ,20220705,52.96,52.99,51.7,52.72,52.72,0,0,27634.94,144408.954
220,300357.SZ,20220706,52.36,52.71,50.6,51.07,52.72,-1.65,-3.1297,37668.9,194066.006
219,300357.SZ,20220707,51.01,51.07,49.8,50.42,51.07,-0.65,-1.2728,19303.82,97404.677
218,300357.SZ,20220708,50.86,54.2,50.28,53.43,50.42,3.01,5.9699,49429.21,261767.335
217,300357.SZ,20220711,53.43,53.43,51.6,52.23,53.43,-1.2,-2.2459,26084.11,136212.99
216,300357.SZ,20220712,52.22,53.68,51.3,52.9,52.23,0.67,1.2828,27718.17,144925.965
215,300357.SZ,20220713,52.47,53.5,51.62,52.16,52.9,-0.74,-1.3989,19692.71,102983.91
214,300357.SZ,20220714,52.13,53.8,51.71,52.72,52.16,0.56,1.0736,26670.84,141421.751
213,300357.SZ,20220715,52.68,53.28,51.7,52.5,52.72,-0.22,-0.4173,17827.64,93257.911
212,300357.SZ,20220718,52.01,52.69,50.78,51.8,52.5,-0.7,-1.3333,19875.77,102520.439
211,300357.SZ,20220719,51.88,52.37,51.03,51.72,51.8,-0.08,-0.1544,13530.73,69582.082
210,300357.SZ,20220720,51.55,54.6,51.55,53.45,51.72,1.73,3.3449,28517.94,152370.702
209,300357.SZ,20220721,53.24,53.39,48.04,51,53.45,-2.45,-4.5837,64571.67,327845.408
208,300357.SZ,20220722,51.03,51.5,47.5,47.88,51,-3.12,-6.1176,53917.21,263687.253
207,300357.SZ,20220725,47.82,48.39,47.1,47.9,47.88,0.02,0.0418,30430.59,145321.903
206,300357.SZ,20220726,48.21,48.67,46.3,47.12,47.9,-0.78,-1.6284,33070.18,155535.108
205,300357.SZ,20220727,47.01,47.26,45.93,46.88,47.12,-0.24,-0.5093,29725.76,139112.947
204,300357.SZ,20220728,46.9,47.27,46.53,46.7,46.88,-0.18,-0.384,19830.29,92938.414
